Group,Term,Seq,WBCValue,LYMValue,MONValue,GRAValue,HGBValue,MCHValue,MCHCValue,RBCValue,MCVValue,HCTValue,RDWValue,RDWaValue,PLTValue,MPVValue,Glucose,Weight Pct,EAE score,ID
NT,20,1185,14.7,9.7,0.9,4.1,13.1,15.7,38.2,8.33,41.2,34.3,16.1,27.9,258,5.5,205,90.90909091,2,NT 1R
NT,20,1179,17.4,12.9,1,3.5,14.6,15.5,39.4,9.41,39.4,37.2,16.2,27.1,266,5.3,152,90.43010753,2,NT 2R
NT,20,1188,10.5,8.1,0.6,1.8,14.2,16.2,38.5,8.73,42.2,36.9,17,29.4,786,5.1,184,95.6043956,1,NT 3R
NT,20,1183,12.8,9.9,0.7,2.2,13.4,16.5,40.1,8.12,41.1,33.4,15.4,26.9,170,5.8,166,85.58685446,1,NT 1L
NT,20,1187,13,10.1,0.8,2.1,14,15.9,38.9,8.84,40.8,36.1,16.5,28.2,493,5.4,171,81.12612613,1,NT 2L
NT,20,1184,10.7,7.3,0.6,2.8,13.3,15.7,38.6,8.46,40.7,34.4,16.1,27.6,299,5.6,166,91.95979899,1,NT 1R1L
NT,20,1186,13.4,10.5,0.7,2.2,15.2,15.5,39.5,9.82,39.2,38.5,17.1,27.7,755,5.3,171,95.41237113,1,NT 2R1L
NT,20,1181,18.3,14.7,1.1,2.5,14.5,15.8,39.2,9.14,40.4,37,16.8,28.3,530,5.6,161,102.6395939,1,NT 1R2L
NT,20,1180,13.9,10.6,0.9,2.4,13.3,15.7,38.9,8.52,40.3,34.4,16.6,27.4,394,5.3,169,91,1,NT 2R2L
NT,20,1182,18.3,15.6,0.7,2,12.9,16.4,38.9,7.84,42.2,33.1,16.2,28.3,286,5.6,164,88.78787879,1,NT Full
HICT,20,1177,8.7,6.3,0.4,2,10.3,16.2,38.3,6.34,42.3,26.8,16,27.4,192,5.4,165,96.17142857,2,HICT 1R
HICT,20,1173,15.4,11.1,1,3.3,12.8,16.2,38,7.9,42.8,33.8,15.9,28.4,292,5.5,156,94.05263158,2,HICT 2R
HICT,20,1172,20.5,15.7,1.3,3.5,15.1,16,40.2,9.43,39.8,37.6,16.7,27.7,493,5.4,146,92.1,2,HICT 1L
HICT,20,1175,13.6,11.1,0.6,1.9,11.2,16,37.6,7.04,42.5,29.9,16.3,28.4,238,5.7,146,97.34042553,2,HICT 2L
HICT,20,1176,12.7,9.3,0.8,2.6,12.2,16.7,37.7,7.35,44.2,32.5,17.3,31,219,5.8,160,89.53846154,2,HICT 1R1L 
HICT,20,1171,17.2,13.2,1,3,15,16.4,39.6,9.15,41.3,37.8,16.6,28.6,679,5.3,164,93.75,2,HICT 2R1L 
HICT,20,1178,18.3,14,1.1,3.2,14,15.9,38.9,8.81,40.8,36,16.2,27.9,411,5.4,176,94.46808511,2,HICT 1R2L 
HICT,20,1174,21,17,1.1,2.9,14.1,17,39.7,8.29,42.8,35.5,17.4,30.7,521,5.4,155,90.16042781,2,HICT 2R2L 
HICT,20,1170,12.3,8.7,0.8,2.8,14.2,16.3,39.6,8.69,41.2,35.8,16.7,28.4,608,5.3,135,93.9893617,2,HICT Full 
NT,21,,,,,,,,,,,,,,,,,82.67676768,3,NT 1R
NT,21,,,,,,,,,,,,,,,,,84.74178404,1,NT 1L
NT,21,,,,,,,,,,,,,,,,,91.61290323,2,NT 2R
NT,21,,,,,,,,,,,,,,,,,80.22522523,2,NT 2L
NT,21,,,,,,,,,,,,,,,,,92.52747253,1,NT 3R
NT,21,,,,,,,,,,,,,,,,,88.84422111,1,NT 1R1L
NT,21,,,,,,,,,,,,,,,,,94.84536082,1,NT 2R1L
NT,21,,,,,,,,,,,,,,,,,100.5076142,1,NT 1R2L
NT,21,,,,,,,,,,,,,,,,,90.9,1,NT 2R2L
NT,21,,,,,,,,,,,,,,,,,90.2020202,1,NT Full
HICT,21,,,,,,,,,,,,,,,,,106.8571429,1,HICT 1R
HICT,21,,,,,,,,,,,,,,,,,89.45,2,HICT 1L
HICT,21,,,,,,,,,,,,,,,,,91.63157895,2,HICT 2R
HICT,21,,,,,,,,,,,,,,,,,88.03191489,1,HICT 2L
HICT,21,,,,,,,,,,,,,,,,,89.07692308,2,HICT 1R1L
HICT,21,,,,,,,,,,,,,,,,,91.875,1,HICT 2R1L
HICT,21,,,,,,,,,,,,,,,,,95.90425532,2,HICT 1R2L
HICT,21,,,,,,,,,,,,,,,,,89.78609626,1,HICT 2R2L
HICT,21,,,,,,,,,,,,,,,,,91.17021277,1,HICT full
NT,22,1201,10.6,7.1,0.8,2.7,13.9,15.9,41.3,8.71,38.6,33.6,16,24.9,604,4.9,165,84.09090909,2,NT 1R
NT,22,1199,16.7,11.2,1.3,4.2,13.5,15.6,41.1,8.67,38.1,33,16.1,24.7,435,5.3,164,92.74193548,2,NT 2R
NT,22,1193,11.8,8.8,0.8,2.2,11.8,16.5,39.6,7.18,41.7,29.9,16.2,27.3,242,5.4,179,94.50549451,1,NT 3R
NT,22,1198,15.3,11.1,1.2,3,14.7,16.5,41.6,8.88,39.6,35.2,16.3,26.6,647,5,166,88.2629108,1,NT 1L
NT,22,1194,16,11.6,1.3,3.1,14.7,16,41,9.17,39.1,35.9,16.5,26.4,649,4.9,153,83.33333333,2,NT 2L
NT,22,1202,21,14.9,1.7,4.4,14.8,16,41.3,9.25,38.8,35.9,17.1,27.1,405,5.3,161,92.96482412,1,NT 1R1L
NT,22,1195,15.5,9.4,1.3,4.8,14.4,16,41.1,9.02,38.9,35.1,16.1,25.8,391,5.5,162,96.64948454,1,NT 2R1L
NT,22,1200,16.8,12,1.3,3.5,15.2,16.5,41.8,9.22,39.5,36.4,16.7,27.3,605,5.4,152,104.3147208,1,NT 1R2L
NT,22,1197,12.9,8.6,1.2,3.1,14.8,16.4,42.2,9.04,38.8,35.1,17.1,26.4,627,5.2,159,92.8,1,NT 2R2L
NT,22,1196,19.7,14.9,1.4,3.4,13.2,16.8,40.9,7.87,41.1,32.4,16.3,27.7,303,5.6,157,91.16161616,1,NT Full
HICT,22,1203,12.2,8.1,0.9,3.2,12.8,16.4,40.5,7.84,40.5,31.7,16.5,27.2,269,5.5,156,139.2857143,1,HICT 1R
HICT,22,1213,13.2,8.7,0.9,3.6,14.6,16.4,39.9,8.87,41.3,36.6,16.1,28.1,448,5.5,155,105.0359712,1,HICT 2R
HICT,22,1216,14.6,10.1,1,3.5,12.6,16.6,40.9,7.57,40.6,30.7,16.4,26.9,196,5.1,146,110.7142857,1,HICT 1L
HICT,22,1217,13.4,10.2,0.9,2.3,15.1,16.1,40.1,9.38,40.1,37.6,17.1,28.4,584,5.3,142,106.7669173,1,HICT 2L
HICT,22,1205,,,,,16,16.8,41.1,9.49,40.9,38.9,17.2,29.2,347,5.2,157,111.3475177,1,HICT 1R1L 
HICT,22,1204,,,,,9.8,16.7,39.7,5.86,42.3,24.8,15.2,25.9,201,5.5,156,120,1,HICT 2R1L 
HICT,22,1214,11.8,8.2,0.8,2.8,12.8,16.1,39.7,7.92,40.5,32.1,16,26.7,309,5.6,155,130.2521008,2,HICT 1R2L 
HICT,22,1212,11.4,8,0.8,2.6,14.8,16.6,39.9,8.93,41.5,37.1,16.6,28.7,675,5.1,145,94.77124183,1,HICT 2R2L 
HICT,22,1215,13.2,8.4,1,3.8,15.2,16,40,9.49,40,38,16.2,27.4,521,5.5,155,119.2307692,0,HICT Full 
HICT,22,1210,14.8,10.1,1.1,3.6,13.2,16.5,39.7,8,41.5,33.2,15.9,27.6,299,5.5,183,96.25668449,1,HICT 1R1L T9 MS2 second
HICT,22,1211,11.4,8.1,0.8,2.5,13.7,16.7,39.4,8.22,42.4,34.8,16.8,29.2,428,5.2,189,93.08510638,0,HICT 2R1L T9 MS2 second
HICT,23,,,,,,,,,,,,,,,,,99.08571429,1,HICT 1R
HICT,23,,,,,,,,,,,,,,,,,95.36842105,1,HICT 2R
HICT,23,,,,,,,,,,,,,,,,,92.6,1,HICT 1L
HICT,23,,,,,,,,,,,,,,,,,101.7553191,0,HICT 2L
HICT,23,,,,,,,,,,,,,,,,,92.87179487,1,HICT 1R1L 
HICT,23,,,,,,,,,,,,,,,,,92.34375,1,HICT 2R1L 
HICT,23,,,,,,,,,,,,,,,,,101.9680851,0,HICT 1R2L 
HICT,23,,,,,,,,,,,,,,,,,93.85026738,0,HICT 2R2L 
HICT,23,,,,,,,,,,,,,,,,,90.69148936,3,HICT Full 
NT,23,,,,,,,,,,,,,,,,,85.3030303,3,NT 1R
NT,23,,,,,,,,,,,,,,,,,95.16129032,1,NT 2R
NT,23,,,,,,,,,,,,,,,,,95.87912088,1,NT 3R
NT,23,,,,,,,,,,,,,,,,,88.02816901,1,NT 1L
NT,23,,,,,,,,,,,,,,,,,85.54054054,1,NT 2L
NT,23,,,,,,,,,,,,,,,,,92.61306533,1,NT 1R1L
NT,23,,,,,,,,,,,,,,,,,98.40206186,0,NT 2R1L
NT,23,,,,,,,,,,,,,,,,,105.4314721,1,NT 1R2L
NT,23,,,,,,,,,,,,,,,,,92.65,1,NT 2R2L
NT,23,,,,,,,,,,,,,,,,,92.07070707,1,NT Full
HICT,24,,,,,,,,,,,,,,,,,101.1428571,1,HICT 1R
HICT,24,,,,,,,,,,,,,,,,,97.57894737,1,HICT 2R
HICT,24,,,,,,,,,,,,,,,,,90.5,2,HICT 1L
HICT,24,,,,,,,,,,,,,,,,,105.1595745,0,HICT 2L
HICT,24,,,,,,,,,,,,,,,,,96.46153846,1,HICT 1R1L 
HICT,24,,,,,,,,,,,,,,,,,95.98958333,1,HICT 2R1L 
HICT,24,,,,,,,,,,,,,,,,,103.1914894,0,HICT 1R2L 
HICT,24,,,,,,,,,,,,,,,,,94.9197861,0,HICT 2R2L 
HICT,24,,,,,,,,,,,,,,,,,89.89361702,2,HICT Full 
NT,24,,,,,,,,,,,,,,,,,89.64646465,2,NT 1R
NT,24,,,,,,,,,,,,,,,,,94.62365591,0,NT 2R
NT,24,,,,,,,,,,,,,,,,,97.69230769,1,NT 3R
NT,24,,,,,,,,,,,,,,,,,85.35211268,1,NT 1L
NT,24,,,,,,,,,,,,,,,,,83.15315315,0,NT 2L
NT,24,,,,,,,,,,,,,,,,,91.95979899,2,NT 1R1L
NT,24,,,,,,,,,,,,,,,,,94.32989691,0,NT 2R1L
NT,24,,,,,,,,,,,,,,,,,103.1979695,1,NT 1R2L
NT,24,,,,,,,,,,,,,,,,,96.5,1,NT 2R2L
NT,24,,,,,,,,,,,,,,,,,94.74747475,0,NT Full
HICT,25,,,,,,,,,,,,,,,,,102.8571429,0,HICT 1R
HICT,25,,,,,,,,,,,,,,,,,95.52631579,0,HICT 2R
HICT,25,,,,,,,,,,,,,,,,,94.05,0,HICT 1L
HICT,25,,,,,,,,,,,,,,,,,106.8085106,0,HICT 2L
HICT,25,,,,,,,,,,,,,,,,,97.69230769,0,HICT 1R1L 
